path,disposition,basis
".agents/plugins/marketplace.json","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
".agents/skills/adaptive-exploration","DELETE-CANDIDATE","duplicate discovery pointer for demoted Skill; canonical package archived"
".agents/skills/decision-analysis","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
".agents/skills/evaluate-work-product","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
".agents/skills/research-evidence","DELETE-CANDIDATE","duplicate discovery pointer for demoted Skill; canonical package archived"
".agents/skills/system-development","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
".agents/skills/work-formation","DELETE-CANDIDATE","duplicate discovery pointer for demoted Skill; canonical package archived"
".codex-plugin/plugin.json","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
"CURRENT.md","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
"README.md","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
"architecture/ARCHITECTURE-METHOD.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/ARCHITECTURE-PRINCIPLES-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/DELTA-01-02-PERSONAL-OPERATING-ARCHITECTURE-SOI-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/DELTA-03-VIEW-CONTROL-PLANE-RECONCILIATION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/E2E-WORK-ARCHITECTURE-CANDIDATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/LAYER-VIEW-WORKCONTROL-RUNTIME-CORRESPONDENCE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/PRIOR-ARCHITECTURE-DIFFERENTIAL-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/REQUIREMENTS-v0.3-ARCHITECTURE-VIEW-INTERACTION-RUNTIME-TRACE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"architecture/TARGET-ARCHITECTURE-BASELINE-v0.2.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"decisions/ADR-0001-reconstruction-bootstrap.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"decisions/ADR-0002-target-conceptual-baseline.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"decisions/ADR-0003-vnext-requirements-baseline-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"decisions/ADR-0004-requirements-baseline-v0.3.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/E2E-REAL-USE-VALIDATION-PROTOCOL-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/EVALUATION-STRATEGY.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"evaluation/adaptive-exploration/CASE-CARDS-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/decision-analysis/CASE-CARDS-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-01-R21-2026-08-22-EV-WAIT-DECISION-v0.5.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-01-R21-2026-08-22-EV-WAIT-DECISION-v0.6.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-03-2026-08-26-EWP-TRANSNETBW-v0.1.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"evaluation/e2e-real-use/E2E-03-R21-2026-08-22-WEDDING-DESSERT-v0.5.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-2026-08-20-POST-PR13-RUNTIME-LOAD-AND-HYGIENE.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"evaluation/e2e-real-use/E2E-04-2026-08-28-RUNTIME-v0.6-BEHAVIORAL-REPAIR-v0.1.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"evaluation/e2e-real-use/E2E-04-2026-08-29-REQUIREMENTS-v0.3-SALIENCE-TEST-DESIGN-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R19-2026-08-21-RUNTIME-CONFORMANCE-PREFLIGHT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R20-2026-08-21-BEHAVIORAL-VALIDATION.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R20-2026-08-21-GLOBAL-V0.7-BEHAVIORAL-FAILURE.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"evaluation/e2e-real-use/E2E-04-R20-2026-08-21-GRAPHIC-NOVEL-COLD-START-RCA.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R20-2026-08-21-NATIVE-WORK-SKILL-REAL-USE-PILOT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R20-2026-08-21-NATIVE-WORK-SKILL-VALIDATION.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R20-2026-08-21-TWO-PASS-GATEWAY-LIVE-API-READINESS-BLOCKER.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R21-2026-08-22-LIVE-PROJECT-IDENTITY-READBACK.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/E2E-04-R21-2026-08-22-MATERIAL-WORK-ENTRY-v0.5-v0.6-REAL-USE-SYNTHESIS.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"evaluation/e2e-real-use/E2E-04-R21-2026-08-22-NATIVE-PLATFORM-AUDIT-BASIS-CORRECTION.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"evaluation/e2e-real-use/E2E-04-R21-2026-08-22-PERSONAL-INFORMATION-SYSTEM-v0.6.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/e2e-real-use/README.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/evaluate-work-product/CASE-CARDS-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/evaluate-work-product/EWP-03-FORWARD-TEST-DESIGN-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/evaluate-work-product/FINDING-TO-LAYER-MATRIX-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/evaluate-work-product/method-bases/APPLICATION-PACKAGE-EVALUATION-v0.1-CANDIDATE.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/evaluate-work-product/runs/EWP-03-2026-08-26-FORWARD-TEST-RESULT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/evaluate-work-product/runs/evidence/EWP-03-TRACE-01.png","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/evaluate-work-product/runs/evidence/EWP-03-TRACE-02.png","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evaluation/skill-portfolio/ACTIVATION-BOUNDARY-CASES-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/EVIDENCE-MAP.md","EXTRACT","material semantics extracted into compact active baseline before archival"
